skill,category,aliases
Python,programming,"python, py, python3"
C++,programming,"c++, cpp"
C#,programming,"c#, csharp"
.NET,programming,".net, dotnet, asp.net"
Java,programming,"java"
JavaScript,programming,"javascript, js"
TypeScript,programming,"typescript, ts"
R,programming,"r, r-lang"
Go,programming,"go, golang"
C,programming,"c"
Rust,programming,"rust"
PHP,programming,"php"
Ruby,programming,"ruby"
HTML,web_backend,"html, html5"
CSS,web_backend,"css, css3"
React,web_backend,"react, react.js, reactjs"
Node.js,web_backend,"node.js, nodejs, node"
Vue.js,web_backend,"vue.js, vue, vuejs"
FastAPI,web_backend,"fastapi"
Django,web_backend,"django"
Flask,web_backend,"flask"
REST API,web_backend,"rest api, restful api, rest apis, rest"
GraphQL,web_backend,"graphql"
SQL,databases,"sql"
PostgreSQL,databases,"postgresql, postgres"
MySQL,databases,"mysql"
MongoDB,databases,"mongodb, mongo"
Redis,databases,"redis"
SQLite,databases,"sqlite"
PL/SQL,databases,"pl/sql, plsql"
Cassandra,databases,"cassandra"
Elasticsearch,databases,"elasticsearch"
Pandas,data_tools,"pandas"
NumPy,data_tools,"numpy"
Power BI,data_tools,"power bi, powerbi"
Tableau,data_tools,"tableau"
Excel,data_tools,"excel, ms excel"
Spark,data_tools,"spark, apache spark, pyspark"
Airflow,data_tools,"airflow, apache airflow"
ETL,data_tools,"etl, data pipelines"
BigQuery,data_tools,"bigquery, google bigquery"
Statistics,data_tools,"statistics, statistical analysis"
Data Visualization,data_tools,"data visualization"
Machine Learning,ml_ai,"machine learning, ml"
Deep Learning,ml_ai,"deep learning, dl"
scikit-learn,ml_ai,"scikit-learn, sklearn"
TensorFlow,ml_ai,"tensorflow, tf"
PyTorch,ml_ai,"pytorch"
OpenCV,ml_ai,"opencv"
CNN,ml_ai,"cnn, convolutional neural networks"
YOLO,ml_ai,"yolo"
LLM,ml_ai,"llm, large language models, llms"
RAG,ml_ai,"rag, retrieval-augmented generation, retrieval augmented generation"
Transformers,ml_ai,"transformers, huggingface transformers"
Hugging Face,ml_ai,"hugging face, huggingface"
spaCy,ml_ai,"spacy"
NLTK,ml_ai,"nltk"
NLP,ml_ai,"nlp, natural language processing"
BERT,ml_ai,"bert"
LangChain,ml_ai,"langchain"
Vector Databases,ml_ai,"vector databases, chromadb, pinecone, qdrant"
MLflow,ml_ai,"mlflow"
MLOps,ml_ai,"mlops"
Docker,cloud_devops,"docker"
Kubernetes,cloud_devops,"kubernetes, k8s"
AWS,cloud_devops,"aws, amazon web services, s3, ec2"
Azure,cloud_devops,"azure, microsoft azure"
GCP,cloud_devops,"gcp, google cloud platform"
Linux,cloud_devops,"linux, bash, shell"
Git,cloud_devops,"git, github, gitlab"
CI/CD,cloud_devops,"ci/cd, continuous integration, github actions"
Terraform,cloud_devops,"terraform"
Ansible,cloud_devops,"ansible"
Data Structures,programming,"data structures, dsa"
Algorithms,programming,"algorithms, algo"
System Design,programming,"system design"
OOP,programming,"oop, object-oriented programming"
Unit Testing,programming,"unit testing, pytest, unittest"
