role,category,required_skills,optional_skills,description
Data Analyst,Data & Analytics,"Python, SQL, Excel, Pandas, Power BI","Tableau, Statistics, R, Data Visualization, ETL","Seeking a Data Analyst proficient in Python, SQL, Excel, Pandas, and Power BI for data cleaning, reporting, dashboard creation, and statistical analysis. Experience with Tableau, ETL pipelines, and data visualization is preferred."
Machine Learning Engineer,ML & AI,"Python, Machine Learning, scikit-learn, FastAPI, Docker","MLflow, Deep Learning, PyTorch, SQL, Git, MLOps","Looking for a Machine Learning Engineer with experience in Python, Machine Learning models using scikit-learn, building REST APIs with FastAPI, and containerization with Docker. Familiarity with MLflow, MLOps pipelines, PyTorch, and cloud deployment is a plus."
AI Engineer,ML & AI,"Python, Deep Learning, LLM, RAG, APIs","LangChain, PyTorch, OpenAI, Vector Databases, Docker","Hiring an AI Engineer skilled in Python, Deep Learning, Large Language Models (LLM), Retrieval-Augmented Generation (RAG), and API integrations. Experience with PyTorch, LangChain, vector databases (ChromaDB, Pinecone), and Docker containerization."
NLP Engineer,ML & AI,"Python, NLP, Transformers, Hugging Face, spaCy","NLTK, PyTorch, BERT, Text Mining, Deep Learning","Position for NLP Engineer experienced in Natural Language Processing, Hugging Face Transformers, spaCy, text classification, Named Entity Recognition (NER), and sentiment analysis. Knowledge of PyTorch, NLTK, and language model fine-tuning required."
Computer Vision Engineer,ML & AI,"Python, OpenCV, CNN, YOLO, Deep Learning","PyTorch, TensorFlow, Image Processing, CUDA, Docker","Seeking a Computer Vision Engineer with expertise in Python, OpenCV, Convolutional Neural Networks (CNN), YOLO object detection, and deep learning frameworks. Experience with real-time video processing, PyTorch, and deployment."
Software Engineer,Software Engineering,"Python, Data Structures, Algorithms, Git, SQL","OOP, System Design, Unit Testing, Linux, CI/CD","Looking for a Software Engineer with strong fundamentals in Python, Data Structures, Algorithms, Git version control, and relational databases. Experience in Object-Oriented Programming (OOP), system design, and CI/CD automation."
Backend Developer,Software Engineering,"Python, FastAPI, Django, PostgreSQL, REST API","Docker, Redis, Microservices, SQL, GraphQL","Hiring a Backend Developer skilled in Python web frameworks (FastAPI, Django, Flask), PostgreSQL databases, and RESTful API design. Experience with Docker, Redis caching, microservices architecture, and authentication protocols."
Data Engineer,Data & Analytics,"Python, SQL, Spark, ETL, Airflow","PostgreSQL, AWS, Docker, Kafka, BigQuery","Looking for a Data Engineer to construct reliable data pipelines using Python, SQL, Apache Spark, Airflow, and ETL frameworks. Experience with cloud platforms (AWS/GCP), data warehousing, BigQuery, and Docker is desirable."
Full Stack Engineer,Software Engineering,"Python, JavaScript, React, HTML, CSS, REST API","Node.js, PostgreSQL, Docker, TypeScript, Git","Seeking a Full Stack Engineer capable of building responsive web frontends with React, HTML, CSS, and robust backends using Python and REST APIs. Familiarity with JavaScript, TypeScript, Node.js, and database design."
Cloud & DevOps Engineer,Infrastructure,"Linux, Docker, Kubernetes, AWS, CI/CD","Terraform, Python, Bash, Ansible, Cloud Security","Hiring a Cloud & DevOps Engineer to manage cloud infrastructure, build CI/CD pipelines, optimize containerized applications using Docker and Kubernetes on AWS. Proficiency in Linux system administration, Terraform, and Python scripting."
